stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
28.0,SOP,Sopela,  43.38021,  -2.97899,0,28
39.0,POR,Portugalete,  43.31777,  -3.02076,0,39
18.0,LAM,Lamiako,  43.32133,  -3.00102,0,18
19.0,ARE,Areeta,  43.32595,  -3.00961,0,19
21.0,NEG,Neguri,  43.34024,  -3.00562,0,21
37.0,SES,Sestao,  43.30912,  -3.00567,0,37
16.0,AST,Astrabudua,  43.31463,  -2.98681,0,16
17.0,LEI,Leioa,  43.31788,  -2.99168,0,17
23.0,ALG,Algorta,  43.35045,  -3.00935,0,23
29.0,URD,Urduliz,  43.37900,  -2.95811,0,29
35.0,BAG,Bagatza,  43.29885,  -2.99268,0,35
6.0,CAV,Zazpikaleak/Casco Viejo,  43.25968,  -2.92071,0,6
13.0,SIN,San Ignazio,  43.28068,  -2.96239,0,13
22.0,AIB,Aiboa,  43.34414,  -3.00267,0,22
32.0,GUR,Gurutzeta/Cruces,  43.28301,  -2.98245,0,32
41.0,STZ,Santurtzi,  43.32895,  -3.03421,0,41
38.0,ABT,Abatxolo,  43.31436,  -3.01357,0,38
9.0,IND,Indautxu,  43.26127,  -2.94179,0,9
20.0,GOB,Gobela,  43.33308,  -3.00735,0,20
24.0,BID,Bidezabal,  43.35644,  -3.01127,0,24
25.0,IBB,Ibarbengoa,  43.36320,  -3.00699,0,25
27.0,LAR,Larrabasterra,  43.37573,  -2.99147,0,27
30.0,PLE,Plentzia,  43.40134,  -2.94636,0,30
1.0,ARZ,Ariz,  43.23801,  -2.88203,0,1
11.0,DEU,Deustu,  43.27145,  -2.94954,0,11
26.0,BER,Berango,  43.36704,  -2.99949,0,26
7.0,ABA,Abando,  43.26140,  -2.92761,0,7
8.0,MOY,Moyua,  43.26259,  -2.93308,0,8
14.0,LUT,Lutxana,  43.29098,  -2.96992,0,14
15.0,ERA,Erandio,  43.30338,  -2.97437,0,15
34.0,BAR,Barakaldo,  43.29563,  -2.98936,0,34
51,,Basauri,  43.23624,  -2.89340,1,
3,,Bolueta,  43.24700,  -2.90573,1,
19,,Areeta,  43.32595,  -3.00961,1,
30,,Plentzia,  43.40134,  -2.94636,1,
34,,Barakaldo,  43.29563,  -2.98936,1,
38,,Abatxolo,  43.31436,  -3.01357,1,
9,,Indautxu,  43.26127,  -2.94179,1,
23,,Algorta,  43.35045,  -3.00935,1,
26,,Berango,  43.36704,  -2.99949,1,
37,,Sestao,  43.30912,  -3.00567,1,
1,,Ariz,  43.23801,  -2.88203,1,
15,,Erandio,  43.30338,  -2.97437,1,
21,,Neguri,  43.34024,  -3.00562,1,
32,,Gurutzeta/Cruces,  43.28301,  -2.98245,1,
41,,Santurtzi,  43.32895,  -3.03421,1,
12,,Sarriko,  43.27495,  -2.95874,1,
16,,Astrabudua,  43.31463,  -2.98681,1,
24,,Bidezabal,  43.35644,  -3.01127,1,
25,,Ibarbengoa,  43.36320,  -3.00699,1,
42,,Kabiezes,  43.32238,  -3.03777,1,
6,,Zazpikaleak/Casco Viejo,  43.25968,  -2.92071,1,
8,,Moyua,  43.26259,  -2.93308,1,
17,,Leioa,  43.31788,  -2.99168,1,
36,,Urbinaga,  43.30570,  -2.99260,1,
39,,Portugalete,  43.31777,  -3.02076,1,
