trip_id,route_id,service_id,trip_headsign,direction_id
125547,MB,fu1830hinvd_22_v02_02.pex,Kabiezes,0
125548,MB,fu1830hinvd_22_v02_02.pex,Basauri,1
125549,MB,fu1830hinvd_22_v02_02.pex,Kabiezes,0
125550,MB,fu1830hinvd_22_v02_02.pex,Basauri,1
125551,MB,fu1830hinvd_22_v02_02.pex,Kabiezes,0
125552,MB,fu1830hinvd_22_v02_02.pex,Basauri,1
125553,MB,fu1830hinvd_22_v02_02.pex,Kabiezes,0
125554,MB,fu1830hinvd_22_v02_02.pex,Basauri,1
125555,MB,fu1830hinvd_22_v02_02.pex,Etxebarri,1
125556,MB,fu1830hinvd_22_v02_02.pex,Ibarbengoa,0
125557,MB,fu1830hinvd_22_v02_02.pex,Etxebarri,1
125558,MB,fu1830hinvd_22_v02_02.pex,Ibarbengoa,0
125559,MB,fu1830hinvd_22_v02_02.pex,Etxebarri,1
125560,MB,fu1830hinvd_22_v02_02.pex,Ibarbengoa,0
125561,MB,fu1830hinvd_22_v02_02.pex,Etxebarri,1
125562,MB,fu1830hinvd_22_v02_02.pex,Sopela,0
125563,MB,fu1830hinvd_22_v02_02.pex,Plentzia,0
125564,MB,fu1830hinvd_22_v02_02.pex,Etxebarri,1
125565,MB,fu1830hinvd_22_v02_02.pex,Plentzia,0
125566,MB,fu1830hinvd_22_v02_02.pex,Etxebarri,1
125567,MB,fu1830hinvd_22_v02_02.pex,Plentzia,0
125568,MB,fu1830hinvd_22_v02_02.pex,Etxebarri,1
125569,MB,fu1830hinvd_22_v02_02.pex,Plentzia,0
125570,MB,fu1830hinvd_22_v02_02.pex,Etxebarri,1
125571,MB,fu1830hinvd_22_v02_02.pex,Kabiezes,0
125572,MB,fu1830hinvd_22_v02_02.pex,Basauri,1
125573,MB,fu1830hinvd_22_v02_02.pex,Kabiezes,0
125574,MB,fu1830hinvd_22_v02_02.pex,Basauri,1
125575,MB,fu1830hinvd_22_v02_02.pex,Kabiezes,0
125576,MB,fu1830hinvd_22_v02_02.pex,Basauri,1
125577,MB,fu1830hinvd_22_v02_02.pex,Kabiezes,0
